Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Andritsos (1986),Water,0.1381,0.001,1000.0,Air,25.79,1.8e-05,1.224,0.02515,0.0,0.072,0.0235347278770154,0.081402721899788
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,30.43,1.8e-05,1.224,0.02515,0.0,0.072,0.0189154536061223,0.0750533732051875
Andritsos (1986),Water,0.1244,0.001,1000.0,Air,41.67,1.8e-05,1.224,0.02515,0.0,0.072,0.00710198202711668,0.0618358488184803
Andritsos (1986),Water,0.142,0.001,1000.0,Air,75.07,1.8e-05,1.224,0.02515,0.0,0.072,0.00120728764162065,0.0458903157604714
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,92.99,1.8e-05,1.224,0.02515,0.0,0.072,0.000459857451861265,0.0401287387037164
Andritsos (1986),Water,0.1321,0.001,1000.0,Air,116.68,1.8e-05,1.224,0.02515,0.0,0.072,0.000232715033552036,0.0341930367214282
Andritsos (1986),Water,0.08614,0.001,1000.0,Air,123.93,1.8e-05,1.224,0.02515,0.0,0.072,0.000116840598384676,0.0284255806768135
Andritsos (1986),Water,0.1281,0.001,1000.0,Air,133.08,1.8e-05,1.224,0.02515,0.0,0.072,9.46646484935794e-05,0.0310656309508547
Andritsos (1986),Water,0.292,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.02515,0.0,0.072,0.359840028491556,0.411226838272271
Andritsos (1986),Water,0.2877,0.001,1000.0,Air,2.51,1.8e-05,1.224,0.02515,0.0,0.072,0.35487885357523,0.294939809322102
Andritsos (1986),Water,0.2975,0.001,1000.0,Air,3.5,1.8e-05,1.224,0.02515,0.0,0.072,0.253483285638184,0.261234860298437
Andritsos (1986),Water,0.2975,0.001,1000.0,Air,5.18,1.8e-05,1.224,0.02515,0.0,0.072,0.238394408819887,0.229260291885653
Andritsos (1986),Water,0.2975,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.02515,0.0,0.072,0.198815663617294,0.225455170792595
Andritsos (1986),Water,0.2975,0.001,1000.0,Air,9.7,1.8e-05,1.224,0.02515,0.0,0.072,0.14034513968011,0.196326972433262
Andritsos (1986),Water,0.2975,0.001,1000.0,Air,13.22,1.8e-05,1.224,0.02515,0.0,0.072,0.0958837255324964,0.17258546484526
Andritsos (1986),Water,0.306,0.001,1000.0,Air,19.21,1.8e-05,1.224,0.02515,0.0,0.072,0.0646864180536605,0.148940315709698
Andritsos (1986),Water,0.306,0.001,1000.0,Air,23.21,1.8e-05,1.224,0.02515,0.0,0.072,0.0471512143060147,0.137009609208502
Andritsos (1986),Water,0.306,0.001,1000.0,Air,29.25,1.8e-05,1.224,0.02515,0.0,0.072,0.035831380731189,0.123409128050024
Andritsos (1986),Water,0.3097,0.001,1000.0,Air,42.03,1.8e-05,1.224,0.02515,0.0,0.072,0.0122368652320498,0.104766345772099
Andritsos (1986),Water,0.3345,0.001,1000.0,Air,54.13,1.8e-05,1.224,0.02515,0.0,0.072,0.00414543765400203,0.0964542143899539
Andritsos (1986),Water,0.293,0.001,1000.0,Air,73.97,1.8e-05,1.224,0.02515,0.0,0.072,0.00157238914023757,0.0765564896366426
Andritsos (1986),Water,0.296,0.001,1000.0,Air,89.34,1.8e-05,1.224,0.02515,0.0,0.072,0.000291328903370891,0.0696097187547268
Andritsos (1986),Water,0.2996,0.001,1000.0,Air,112.81,1.8e-05,1.224,0.02515,0.0,0.072,0.000148351301287979,0.0616168194916693
Andritsos (1986),Water,0.2624,0.001,1000.0,Air,130.17,1.8e-05,1.224,0.02515,0.0,0.072,0.000102548471338885,0.0523055460337723
Andritsos (1986),Water,0.06187,0.001,1000.0,Air,0.8,1.8e-05,1.224,0.02515,0.0,0.072,0.548336485462118,0.583222100648178
Andritsos (1986),Water,0.06187,0.001,1000.0,Air,2.04,1.8e-05,1.224,0.02515,0.0,0.072,0.296198954524028,0.386349278128159
Andritsos (1986),Water,0.06187,0.001,1000.0,Air,3.47,1.8e-05,1.224,0.02515,0.0,0.072,0.22350706009154,0.290093510758194
Andritsos (1986),Water,0.06187,0.001,1000.0,Air,4.74,1.8e-05,1.224,0.02515,0.0,0.072,0.191102323973684,0.240023721262822
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,10.96,1.8e-05,1.224,0.02515,0.0,0.072,0.0746862276702999,0.102390021672278
Andritsos (1986),Water,0.05974,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.02515,0.0,0.072,0.059054240261814,0.096192852595073
Andritsos (1986),Water,0.06218,0.001,1000.0,Air,17.74,1.8e-05,1.224,0.02515,0.0,0.072,0.0309022529178263,0.0812137666212148
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,24.31,1.8e-05,1.224,0.02515,0.0,0.072,0.0134170645563527,0.0688081824256618
Andritsos (1986),Water,0.06297,0.001,1000.0,Air,32.83,1.8e-05,1.224,0.02515,0.0,0.072,0.00473716618094341,0.058754757732151
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,44.71,1.8e-05,1.224,0.02515,0.0,0.072,0.00174347488885148,0.0488393531005755
Andritsos (1986),Water,0.06066,0.001,1000.0,Air,59.16,1.8e-05,1.224,0.02515,0.0,0.072,0.00121636168435545,0.0409725499639094
Andritsos (1986),Water,0.05861,0.001,1000.0,Air,78.91,1.8e-05,1.224,0.02515,0.0,0.072,0.000459857451861265,0.0336412175422364
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,97.72,1.8e-05,1.224,0.02515,0.0,0.072,0.000195732232732636,0.0296498278611541
Andritsos (1986),Water,0.06221,0.001,1000.0,Air,121.22,1.8e-05,1.224,0.02515,0.0,0.072,7.05446879319124e-05,0.0256285969669456
Andritsos (1986),Water,0.06904,0.001,1000.0,Air,137.01,1.8e-05,1.224,0.02515,0.0,0.072,6.96649281523566e-05,0.0244386626109511
Andritsos (1986),Water,0.005639,0.001,1000.0,Air,1.12,1.8e-05,1.224,0.02515,0.0,0.072,0.269941284761418,0.18405297149476
Andritsos (1986),Water,0.005639,0.001,1000.0,Air,2.06,1.8e-05,1.224,0.02515,0.0,0.072,0.192199787443686,0.111013269297598
Andritsos (1986),Water,0.005547,0.001,1000.0,Air,3.27,1.8e-05,1.224,0.02515,0.0,0.072,0.105147285067338,0.0724800748513086
Andritsos (1986),Water,0.00573,0.001,1000.0,Air,4.49,1.8e-05,1.224,0.02515,0.0,0.072,0.0606477677808194,0.054617614578428
Andritsos (1986),Water,0.005761,0.001,1000.0,Air,6.99,1.8e-05,1.224,0.02515,0.0,0.072,0.033805760882395,0.0355424904114402
Andritsos (1986),Water,0.005761,0.001,1000.0,Air,10.64,1.8e-05,1.224,0.02515,0.0,0.072,0.0237739689672109,0.0232986749736676
Andritsos (1986),Water,0.005761,0.001,1000.0,Air,11.71,1.8e-05,1.224,0.02515,0.0,0.072,0.0207246131459182,0.0211320179882697
Andritsos (1986),Water,0.005547,0.001,1000.0,Air,17.83,1.8e-05,1.224,0.02515,0.0,0.072,0.00801321147115443,0.0134126333718787
Andritsos (1986),Water,0.005761,0.001,1000.0,Air,24.66,1.8e-05,1.224,0.02515,0.0,0.072,0.00280032492674814,0.0314341066506316
Andritsos (1986),Water,0.005755,0.001,1000.0,Air,30.69,1.8e-05,1.224,0.02515,0.0,0.072,0.000975223919989304,0.0269655613435022
Andritsos (1986),Water,0.005608,0.001,1000.0,Air,49.53,1.8e-05,1.224,0.02515,0.0,0.072,0.000266261783452371,0.0187528909323804
Andritsos (1986),Water,0.005755,0.001,1000.0,Air,63.83,1.8e-05,1.224,0.02515,0.0,0.072,0.000132827169683375,0.0155921238959306
Andritsos (1986),Water,0.005893,0.001,1000.0,Air,81.5,1.8e-05,1.224,0.02515,0.0,0.072,8.4173142369249e-05,0.0129866074258945
Andritsos (1986),Water,0.005761,0.001,1000.0,Air,102.38,1.8e-05,1.224,0.02515,0.0,0.072,3.50007713177477e-05,0.0106911824398818
Andritsos (1986),Water,0.005861,0.001,1000.0,Air,134.75,1.8e-05,1.224,0.02515,0.0,0.072,7.19890850236488e-06,0.00859270213165086
Andritsos (1986),Water,0.005883,0.001,1000.0,Air,155.51,1.8e-05,1.224,0.02515,0.0,0.072,6.39058141312286e-06,0.00763671337007587
Andritsos (1986),Water,0.02627,0.001,1000.0,Air,1.08,1.8e-05,1.224,0.02515,0.0,0.072,0.369789857885347,0.340973235712662
Andritsos (1986),Water,0.02627,0.001,1000.0,Air,2.05,1.8e-05,1.224,0.02515,0.0,0.072,0.310704640669631,0.222422630515153
Andritsos (1986),Water,0.02597,0.001,1000.0,Air,3.26,1.8e-05,1.224,0.02515,0.0,0.072,0.228065406585106,0.172760629409643
Andritsos (1986),Water,0.02597,0.001,1000.0,Air,4.5,1.8e-05,1.224,0.02515,0.0,0.072,0.169479266078854,0.137058260253267
Andritsos (1986),Water,0.0251,0.001,1000.0,Air,7.07,1.8e-05,1.224,0.02515,0.0,0.072,0.104210202919275,0.0946742278124319
Andritsos (1986),Water,0.02518,0.001,1000.0,Air,9.41,1.8e-05,1.224,0.02515,0.0,0.072,0.0598494169873868,0.0755912857700232
Andritsos (1986),Water,0.02518,0.001,1000.0,Air,12.34,1.8e-05,1.224,0.02515,0.0,0.072,0.0363092653153421,0.0605733252960418
Andritsos (1986),Water,0.02518,0.001,1000.0,Air,17.79,1.8e-05,1.224,0.02515,0.0,0.072,0.0184161991223131,0.0634266308626608
Andritsos (1986),Water,0.0251,0.001,1000.0,Air,24.51,1.8e-05,1.224,0.02515,0.0,0.072,0.00642286477806082,0.0527804866451759
Andritsos (1986),Water,0.02457,0.001,1000.0,Air,33.31,1.8e-05,1.224,0.02515,0.0,0.072,0.00225135571199097,0.0435199307868574
Andritsos (1986),Water,0.02582,0.001,1000.0,Air,45.51,1.8e-05,1.224,0.02515,0.0,0.072,0.00128050606551738,0.0362471546701216
Andritsos (1986),Water,0.02673,0.001,1000.0,Air,60.75,1.8e-05,1.224,0.02515,0.0,0.072,0.000661399370539155,0.0302255510270036
Andritsos (1986),Water,0.02457,0.001,1000.0,Air,81.87,1.8e-05,1.224,0.02515,0.0,0.072,0.000239303689987301,0.0236937142561445
Andritsos (1986),Water,0.02813,0.001,1000.0,Air,127.56,1.8e-05,1.224,0.02515,0.0,0.072,4.20597287746518e-05,0.0180029311359524
Andritsos (1986),Water,0.02451,0.001,1000.0,Air,142.62,1.8e-05,1.224,0.02515,0.0,0.072,3.48612543890248e-05,0.0155842194033487
Andritsos (1986),Glycerine (44%),0.001676,0.0045,1100.0,Air,4.84,1.8e-05,1.224,0.02515,0.0,0.071,0.0663233917354858,0.0588255824247454
Andritsos (1986),Glycerine (44%),0.001737,0.0045,1100.0,Air,6.8,1.8e-05,1.224,0.02515,0.0,0.071,0.0314240878085968,0.0431678480290461
Andritsos (1986),Glycerine (44%),0.001524,0.0045,1100.0,Air,10.12,1.8e-05,1.224,0.02515,0.0,0.071,0.0151476978053197,0.0270370741046512
Andritsos (1986),Glycerine (44%),0.001402,0.0045,1100.0,Air,11.66,1.8e-05,1.224,0.02515,0.0,0.071,0.00835334074982863,0.0223454224509335
Andritsos (1986),Glycerine (44%),0.001615,0.0045,1100.0,Air,15.83,1.8e-05,1.224,0.02515,0.0,0.071,0.00622740464818274,0.0177104322524951
Andritsos (1986),Glycerine (44%),0.001524,0.0045,1100.0,Air,23.15,1.8e-05,1.224,0.02515,0.0,0.071,0.00239197261513541,0.0349739572789902
Andritsos (1986),Glycerine (44%),0.001402,0.0045,1100.0,Air,30.15,1.8e-05,1.224,0.02515,0.0,0.071,0.00156744619959046,0.0282574403069523
Andritsos (1986),Glycerine (44%),0.01006,0.0045,1100.0,Air,2.23,1.8e-05,1.224,0.02515,0.0,0.071,0.267577561648394,0.259742165286673
Andritsos (1986),Glycerine (44%),0.01067,0.0045,1100.0,Air,3.33,1.8e-05,1.224,0.02515,0.0,0.071,0.215579634346906,0.198831413362498
Andritsos (1986),Glycerine (44%),0.008839,0.0045,1100.0,Air,4.65,1.8e-05,1.224,0.02515,0.0,0.071,0.163119386671219,0.140019782117764
Andritsos (1986),Glycerine (44%),0.008687,0.0045,1100.0,Air,6.8,1.8e-05,1.224,0.02515,0.0,0.071,0.0688014203907318,0.0999769303214624
Andritsos (1986),Glycerine (44%),0.01082,0.0045,1100.0,Air,10.51,1.8e-05,1.224,0.02515,0.0,0.071,0.0365146732504525,0.075173364576167
Andritsos (1986),Glycerine (44%),0.008382,0.0045,1100.0,Air,13.0,1.8e-05,1.224,0.02515,0.0,0.071,0.0220569818377973,0.0537751687433155
Andritsos (1986),Glycerine (44%),0.009754,0.0045,1100.0,Air,17.79,1.8e-05,1.224,0.02515,0.0,0.071,0.0120918216168833,0.0754174867080635
Andritsos (1986),Glycerine (44%),0.008077,0.0045,1100.0,Air,23.08,1.8e-05,1.224,0.02515,0.0,0.071,0.0056153807311127,0.0619218797500515
Andritsos (1986),Glycerine (44%),0.008687,0.0045,1100.0,Air,30.09,1.8e-05,1.224,0.02515,0.0,0.071,0.00227925373584775,0.0544460543933695
Andritsos (1986),Glycerine (44%),0.02286,0.0045,1100.0,Air,2.06,1.8e-05,1.224,0.02515,0.0,0.071,0.356118258360168,0.364198954447392
Andritsos (1986),Glycerine (44%),0.02042,0.0045,1100.0,Air,3.42,1.8e-05,1.224,0.02515,0.0,0.071,0.296198954524028,0.253640885492857
Andritsos (1986),Glycerine (44%),0.01768,0.0045,1100.0,Air,4.62,1.8e-05,1.224,0.02515,0.0,0.071,0.221235557459259,0.191823842638755
Andritsos (1986),Glycerine (44%),0.01798,0.0045,1100.0,Air,6.69,1.8e-05,1.224,0.02515,0.0,0.071,0.180211618782486,0.143654884053631
Andritsos (1986),Glycerine (44%),0.01981,0.0045,1100.0,Air,9.56,1.8e-05,1.224,0.02515,0.0,0.071,0.0886499913662239,0.110892948813074
Andritsos (1986),Glycerine (44%),0.01676,0.0045,1100.0,Air,12.99,1.8e-05,1.224,0.02515,0.0,0.071,0.039708683259684,0.102039685087616
Andritsos (1986),Glycerine (44%),0.0189,0.0045,1100.0,Air,17.55,1.8e-05,1.224,0.02515,0.0,0.071,0.0230585506961233,0.0913038941081132
Andritsos (1986),Glycerine (44%),0.01798,0.0045,1100.0,Air,22.1,1.8e-05,1.224,0.02515,0.0,0.071,0.0151476978053197,0.0803195091588245
Andritsos (1986),Glycerine (44%),0.02134,0.0045,1100.0,Air,29.61,1.8e-05,1.224,0.02515,0.0,0.071,0.0089595133593151,0.0724882039158919
Andritsos (1986),Glycerine (44%),0.0253,0.0045,1100.0,Air,2.06,1.8e-05,1.224,0.02515,0.0,0.071,0.43517755726057,0.376006901811965
Andritsos (1986),Glycerine (44%),0.03018,0.0045,1100.0,Air,3.33,1.8e-05,1.224,0.02515,0.0,0.071,0.336363112647284,0.298654860900634
Andritsos (1986),Glycerine (44%),0.02682,0.0045,1100.0,Air,4.41,1.8e-05,1.224,0.02515,0.0,0.071,0.268758912938748,0.235882311614961
Andritsos (1986),Glycerine (44%),0.02652,0.0045,1100.0,Air,6.53,1.8e-05,1.224,0.02515,0.0,0.071,0.202143239401821,0.174566191395358
Andritsos (1986),Glycerine (44%),0.02774,0.0045,1100.0,Air,9.84,1.8e-05,1.224,0.02515,0.0,0.071,0.0977171222650053,0.127143954418772
Andritsos (1986),Glycerine (44%),0.03018,0.0045,1100.0,Air,12.15,1.8e-05,1.224,0.02515,0.0,0.071,0.0582622585125971,0.121722067077002
Andritsos (1986),Glycerine (44%),0.03414,0.0045,1100.0,Air,16.02,1.8e-05,1.224,0.02515,0.0,0.071,0.0482672416292573,0.110964475748654
Andritsos (1986),Glycerine (44%),0.02865,0.0045,1100.0,Air,22.11,1.8e-05,1.224,0.02515,0.0,0.071,0.0241342623722579,0.091241373734728
Andritsos (1986),Glycerine (44%),0.03078,0.0045,1100.0,Air,25.25,1.8e-05,1.224,0.02515,0.0,0.071,0.0229399889327031,0.087166137307151
Andritsos (1986),Glycerine (44%),0.04694,0.0045,1100.0,Air,2.03,1.8e-05,1.224,0.02515,0.0,0.071,0.531817720728417,0.452940822214383
Andritsos (1986),Glycerine (44%),0.04724,0.0045,1100.0,Air,3.44,1.8e-05,1.224,0.02515,0.0,0.071,0.428847934735106,0.341604332088498
Andritsos (1986),Glycerine (44%),0.04602,0.0045,1100.0,Air,4.73,1.8e-05,1.224,0.02515,0.0,0.071,0.340054525943925,0.276638420637459
Andritsos (1986),Glycerine (44%),0.05151,0.0045,1100.0,Air,6.7,1.8e-05,1.224,0.02515,0.0,0.071,0.255821589169388,0.226588429612034
Andritsos (1986),Glycerine (44%),0.04542,0.0045,1100.0,Air,11.29,1.8e-05,1.224,0.02515,0.0,0.071,0.0904432213466629,0.138211199666099
Andritsos (1986),Glycerine (44%),0.04938,0.0045,1100.0,Air,13.28,1.8e-05,1.224,0.02515,0.0,0.071,0.0781117416895759,0.131582168617962
Andritsos (1986),Glycerine (44%),0.04542,0.0045,1100.0,Air,16.0,1.8e-05,1.224,0.02515,0.0,0.071,0.0543510243282409,0.119027094335221
Andritsos (1986),Glycerine (44%),0.04816,0.0045,1100.0,Air,23.06,1.8e-05,1.224,0.02515,0.0,0.071,0.0312280796638689,0.10235084818595
Andritsos (1986),Glycerine (44%),0.05212,0.0045,1100.0,Air,22.81,1.8e-05,1.224,0.02515,0.0,0.071,0.0319486450517651,0.104930278526957
Andritsos (1986),Glycerine (66%),0.001036,0.016,1160.0,Air,6.8,1.8e-05,1.224,0.02515,0.0,0.068,0.0679724268305343,0.0645243871963804
Andritsos (1986),Glycerine (66%),0.001036,0.016,1160.0,Air,9.26,1.8e-05,1.224,0.02515,0.0,0.068,0.0328731136234334,0.0480018858533396
Andritsos (1986),Glycerine (66%),0.0006706,0.016,1160.0,Air,13.14,1.8e-05,1.224,0.02515,0.0,0.068,0.0184714611175165,0.0266984958299023
Andritsos (1986),Glycerine (66%),0.0006096,0.016,1160.0,Air,17.53,1.8e-05,1.224,0.02515,0.0,0.068,0.00622740464818274,0.0188639839755673
Andritsos (1986),Glycerine (66%),0.000701,0.016,1160.0,Air,23.48,1.8e-05,1.224,0.02515,0.0,0.068,0.00286037245887311,0.0413864134326252
Andritsos (1986),Glycerine (66%),0.0005486,0.016,1160.0,Air,32.71,1.8e-05,1.224,0.02515,0.0,0.068,0.0010782760244725,0.0303167663001809
Andritsos (1986),Glycerine (66%),0.003109,0.016,1160.0,Air,3.46,1.8e-05,1.224,0.02515,0.0,0.068,0.216708180454688,0.196023348904407
Andritsos (1986),Glycerine (66%),0.003109,0.016,1160.0,Air,4.69,1.8e-05,1.224,0.02515,0.0,0.068,0.126332435663636,0.154074485205581
Andritsos (1986),Glycerine (66%),0.003109,0.016,1160.0,Air,6.69,1.8e-05,1.224,0.02515,0.0,0.068,0.0977171222650053,0.114123043558005
Andritsos (1986),Glycerine (66%),0.003109,0.016,1160.0,Air,9.37,1.8e-05,1.224,0.02515,0.0,0.068,0.0598494169873868,0.0844742576186285
Andritsos (1986),Glycerine (66%),0.001951,0.016,1160.0,Air,12.55,1.8e-05,1.224,0.02515,0.0,0.068,0.0231179041330373,0.050269861670096
Andritsos (1986),Glycerine (66%),0.002621,0.016,1160.0,Air,17.5,1.8e-05,1.224,0.02515,0.0,0.068,0.0128717934576569,0.0749196316675755
Andritsos (1986),Glycerine (66%),0.002164,0.016,1160.0,Air,23.41,1.8e-05,1.224,0.02515,0.0,0.068,0.00456044893899408,0.060404028415271
Andritsos (1986),Glycerine (66%),0.002621,0.016,1160.0,Air,32.37,1.8e-05,1.224,0.02515,0.0,0.068,0.00208637133766003,0.0532902462251366
Andritsos (1986),Glycerine (66%),0.00701,0.016,1160.0,Air,3.54,1.8e-05,1.224,0.02515,0.0,0.068,0.308278683225208,0.267302262796709
Andritsos (1986),Glycerine (66%),0.00701,0.016,1160.0,Air,4.64,1.8e-05,1.224,0.02515,0.0,0.068,0.278245930245613,0.220717972850319
Andritsos (1986),Glycerine (66%),0.00701,0.016,1160.0,Air,6.59,1.8e-05,1.224,0.02515,0.0,0.068,0.180211618782486,0.168615238869799
Andritsos (1986),Glycerine (66%),0.00701,0.016,1160.0,Air,9.35,1.8e-05,1.224,0.02515,0.0,0.068,0.0781117416895759,0.126237479856194
Andritsos (1986),Glycerine (66%),0.005395,0.016,1160.0,Air,12.57,1.8e-05,1.224,0.02515,0.0,0.068,0.0371330467870351,0.1069350180575
Andritsos (1986),Glycerine (66%),0.004724,0.016,1160.0,Air,17.46,1.8e-05,1.224,0.02515,0.0,0.068,0.0184161991223131,0.0884892616560666
Andritsos (1986),Glycerine (66%),0.005395,0.016,1160.0,Air,23.32,1.8e-05,1.224,0.02515,0.0,0.068,0.00931203875513534,0.0794786498310381
Andritsos (1986),Glycerine (66%),0.004724,0.016,1160.0,Air,28.13,1.8e-05,1.224,0.02515,0.0,0.068,0.00364532046623103,0.0693314037805855
Andritsos (1986),Glycerine (66%),0.01097,0.016,1160.0,Air,2.05,1.8e-05,1.224,0.02515,0.0,0.068,0.638918214558286,0.428486504639364
Andritsos (1986),Glycerine (66%),0.01204,0.016,1160.0,Air,3.47,1.8e-05,1.224,0.02515,0.0,0.068,0.451663514537882,0.328769118883543
Andritsos (1986),Glycerine (66%),0.01204,0.016,1160.0,Air,4.72,1.8e-05,1.224,0.02515,0.0,0.068,0.356118258360168,0.269637485500749
Andritsos (1986),Glycerine (66%),0.01372,0.016,1160.0,Air,6.83,1.8e-05,1.224,0.02515,0.0,0.068,0.251149401206671,0.21852845396543
Andritsos (1986),Glycerine (66%),0.01097,0.016,1160.0,Air,12.57,1.8e-05,1.224,0.02515,0.0,0.068,0.0598494169873868,0.127199895132338
Andritsos (1986),Glycerine (66%),0.00951,0.016,1160.0,Air,17.4,1.8e-05,1.224,0.02515,0.0,0.068,0.0298668280776361,0.106494738845026
Andritsos (1986),Glycerine (66%),0.009757,0.016,1160.0,Air,23.19,1.8e-05,1.224,0.02515,0.0,0.068,0.0142739441780773,0.0937793977616647
Andritsos (1986),Glycerine (66%),0.008534,0.016,1160.0,Air,27.66,1.8e-05,1.224,0.02515,0.0,0.068,0.00861143787864227,0.0829507027129009
Andritsos (1986),Glycerine (66%),0.01768,0.016,1160.0,Air,2.05,1.8e-05,1.224,0.02515,0.0,0.068,0.675896168007936,0.486089574351385
Andritsos (1986),Glycerine (66%),0.01768,0.016,1160.0,Air,6.63,1.8e-05,1.224,0.02515,0.0,0.068,0.264039694817033,0.182106023360423
Andritsos (1986),Glycerine (66%),0.01768,0.016,1160.0,Air,9.38,1.8e-05,1.224,0.02515,0.0,0.068,0.147495115558901,0.159650519229508
Andritsos (1986),Glycerine (66%),0.01768,0.016,1160.0,Air,12.59,1.8e-05,1.224,0.02515,0.0,0.068,0.0781117416895759,0.142006930642348
Andritsos (1986),Glycerine (66%),0.01539,0.016,1160.0,Air,17.36,1.8e-05,1.224,0.02515,0.0,0.068,0.0371330467870351,0.120100990410328
Andritsos (1986),Glycerine (66%),0.01372,0.016,1160.0,Air,23.12,1.8e-05,1.224,0.02515,0.0,0.068,0.0189154536061223,0.102668713754864
Andritsos (1986),Glycerine (66%),0.01539,0.016,1160.0,Air,25.67,1.8e-05,1.224,0.02515,0.0,0.068,0.0181956806461578,0.100755723202021
Andritsos (1986),Glycerine (66%),0.02835,0.016,1160.0,Air,12.56,1.8e-05,1.224,0.02515,0.0,0.068,0.107028444778906,0.157951815074179
Andritsos (1986),Glycerine (66%),0.02896,0.016,1160.0,Air,17.29,1.8e-05,1.224,0.02515,0.0,0.068,0.0630616591765754,0.139621179353199
Andritsos (1986),Glycerine (66%),0.02591,0.016,1160.0,Air,22.93,1.8e-05,1.224,0.02515,0.0,0.068,0.0334717398846071,0.12074070819059
Andritsos (1986),Glycerine(79%),0.0007315,0.07,1220.0,Air,3.96,1.8e-05,1.224,0.02515,0.0,0.066,0.175899207573453,0.178758258488678
Andritsos (1986),Glycerine(79%),0.0006096,0.07,1220.0,Air,5.34,1.8e-05,1.224,0.02515,0.0,0.066,0.0559056960545721,0.128767623244337
Andritsos (1986),Glycerine(79%),0.0005486,0.07,1220.0,Air,6.68,1.8e-05,1.224,0.02515,0.0,0.066,0.108918847642507,0.10068433747038
Andritsos (1986),Glycerine(79%),0.0009449,0.07,1220.0,Air,9.56,1.8e-05,1.224,0.02515,0.0,0.066,0.0490156617925638,0.0957354133733826
Andritsos (1986),Glycerine(79%),0.0007925,0.07,1220.0,Air,13.3,1.8e-05,1.224,0.02515,0.0,0.066,0.00993947785059238,0.0645400244783775
Andritsos (1986),Glycerine(79%),0.002377,0.07,1220.0,Air,3.34,1.8e-05,1.224,0.02515,0.0,0.066,0.24417479327671,0.320138634993565
Andritsos (1986),Glycerine(79%),0.001905,0.07,1220.0,Air,5.33,1.8e-05,1.224,0.02515,0.0,0.066,0.176974906271322,0.213895644371767
Andritsos (1986),Glycerine(79%),0.00189,0.07,1220.0,Air,6.01,1.8e-05,1.224,0.02515,0.0,0.066,0.15891377433123,0.194719018975323
Andritsos (1986),Glycerine(79%),0.001981,0.07,1220.0,Air,11.31,1.8e-05,1.224,0.02515,0.0,0.066,0.0372019533041275,0.12546646857488
Andritsos (1986),Glycerine(79%),0.002316,0.07,1220.0,Air,13.52,1.8e-05,1.224,0.02515,0.0,0.066,0.0167832187690266,0.120651838704618
Andritsos (1986),Glycerine(79%),0.004115,0.07,1220.0,Air,3.34,1.8e-05,1.224,0.02515,0.0,0.066,0.373530039052331,0.382853005168714
Andritsos (1986),Glycerine(79%),0.001206,0.07,1220.0,Air,5.43,1.8e-05,1.224,0.02515,0.0,0.066,0.283012922539081,0.173484122540132
Andritsos (1986),Glycerine(79%),0.00442,0.07,1220.0,Air,6.65,1.8e-05,1.224,0.02515,0.0,0.066,0.142378489932647,0.184226263632189
Andritsos (1986),Glycerine(79%),0.00509,0.07,1220.0,Air,9.42,1.8e-05,1.224,0.02515,0.0,0.066,0.102343097916853,0.166674626735899
Andritsos (1986),Glycerine(79%),0.004328,0.07,1220.0,Air,12.6,1.8e-05,1.224,0.02515,0.0,0.066,0.04348940077476,0.143617289796035
Andritsos (1986),Glycerine(79%),0.006706,0.07,1220.0,Air,2.19,1.8e-05,1.224,0.02515,0.0,0.066,0.636432983251541,0.474003353171132
Andritsos (1986),Glycerine(79%),0.00823,0.07,1220.0,Air,3.49,1.8e-05,1.224,0.02515,0.0,0.066,0.512731546570052,0.426307156383961
Andritsos (1986),Glycerine(79%),0.008687,0.07,1220.0,Air,5.03,1.8e-05,1.224,0.02515,0.0,0.066,0.320440270296789,0.231415842960053
Andritsos (1986),Glycerine(79%),0.007925,0.07,1220.0,Air,7.02,1.8e-05,1.224,0.02515,0.0,0.066,0.23035213679164,0.2030118369228
Andritsos (1986),Glycerine(79%),0.007925,0.07,1220.0,Air,9.7,1.8e-05,1.224,0.02515,0.0,0.066,0.122402285125699,0.180786897001944
Andritsos (1986),Glycerine(79%),0.01006,0.07,1220.0,Air,12.76,1.8e-05,1.224,0.02515,0.0,0.066,0.0746862276702999,0.171569959414953
